"site","cushion","code","sample","cushion.open","diam1","diam2","area","Adesmia sp 3","Adesmia sp 4","Adesmia sp 6","Anarthrophyllum gayanum","Barneoudia major","Berberis empetrifolia","Bromus catharticus","Bromus setifolius","Calandrinia caespitosa","Chaetanthera euphrasioides","Chaetanthera pusilla","Chuquiraga oppositifolia","Ephedra chilensis","Erigeron andicola","Euphorbia collina","Haploppappus scrobiculatus","Hordeum comosum","Montiopsis gayana","Nassauvia axillaris","Nassauvia uniflora","Nastanthus agglomeratus","Oxalis squamata","Perezia carthamoides","Perezia pilifera","Phacelia secunda","Poa alopecurus","Polygala salasiana","Quinchamalium chilense","Rhodophiala uniflora","Senecio bustillosianus","Senecio polygaloides","Taraxacum officinale","Thlaspi magellanicum"
"La Parva","Laretia_acaulis",13,27,"open",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"La Parva","Laretia_acaulis",13,30,"open",,,,,3,,,,1,,,,,7,,,,,,,,,,,,,,,,,,,,,,
"La Parva","Laretia_acaulis",13,31,"open",,,,,,,,,,,,,,,,,,,,,,,1,1,,,,2,,,,,,1,,
"La Parva","Laretia_acaulis",13,32,"open",,,,,2,,,,,,,,,6,,,,2,,2,,,3,,2,3,,,,1,,,,1,,
"La Parva","Laretia_acaulis",13,33,"open",,,,,2,,,,,,,,,,,,,,,,,1,,,,1,,,,,,1,,1,,
"La Parva","Laretia_acaulis",13,34,"open",,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,1,,1,,1,,
"La Parva","Laretia_acaulis",13,35,"open",,,,,,,,,,,,,,12,,,,,,,,,1,,,,,,,,,,,,,
"La Parva","Laretia_acaulis",13,36,"open",,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"La Parva","Laretia_acaulis",13,37,"open",,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"La Parva","Laretia_acaulis",13,38,"open",,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,1,,
"La Parva","Laretia_acaulis",13,39,"open",,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,3,,,,
"La Parva","Laretia_acaulis",13,40,"open",,,,,1,,,,,,,,,,,,,,,,,,4,,,,,,1,,,,,,,
"La Parva","Laretia_acaulis",13,41,"open",,,,,,,,,,,,,,,1,1,,,,,,,6,,,2,,,,,,,,,,
"La Parva","Laretia_acaulis",13,42,"open",,,,1,,2,,,,,,,,3,,,,1,,,,,1,,,,,,,,,,,,,
"La Parva","Laretia_acaulis",13,43,"open",,,,,,,,,,,,,1,4,,,,,,,,,,,,,,,,,,,,,,
"La Parva","Laretia_acaulis",13,44,"open",,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,
"La Parva","Laretia_acaulis",13,45,"open",,,,,,,,,,,,,,,,,,,1,,,,3,,,,,,,,,,,1,,
"La Parva","Laretia_acaulis",13,46,"open",,,,1,,,,,,,,,,,,,,,3,,,,3,,,1,,,,,,,,1,,
"La Parva","Laretia_acaulis",13,49,"open",,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,
"La Parva","Laretia_acaulis",13,50,"open",,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,1,1,,,,
"La Parva","Laretia_acaulis",13,51,"open",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"La Parva","Laretia_acaulis",13,52,"open",,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,
"La Parva","Laretia_acaulis",13,53,"open",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"La Parva","Laretia_acaulis",13,54,"open",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"La Parva","Laretia_acaulis",13,55,"open",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"La Parva","Laretia_acaulis",13,56,"open",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"La Parva","Laretia_acaulis",13,57,"open",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"La Parva","Laretia_acaulis",13,58,"open",,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,
"La Parva","Laretia_acaulis",13,59,"open",,,,,,,,,,,,,,9,,,,,1,,,,,,,,,,,,,,,,,
"La Parva","Laretia_acaulis",13,60,"open",,,,,,,,,,,,,7,,,,,,,,,,,,,,,,,,,,,,,
"La Parva","Laretia_acaulis",13,61,"open",,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"La Parva","Laretia_acaulis",13,62,"open",,,,1,,,,,,,,,,,,1,,,,,1,,1,,,,,,2,,,2,,1,,
"La Parva","Laretia_acaulis",13,63,"open",,,,,,,,,,,,,,,,,,,,,,,1,,,,,,3,,,,,1,,
"La Parva","Laretia_acaulis",13,64,"open",,,,3,,,,,,,,,,,,,,,,,,,1,,,,,,,,,1,,,,
"La Parva","Laretia_acaulis",13,65,"open",,,,1,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,
