site,cushion species,sample,cushion/open,diam1 (cm),diam2 (cm),Acaena,Acaena big,Adesmia,Asteraceae open,Azorella lycopoideodes,Calceolarea,Empetrum,Epilobium,Erigeron,Festuca,Haplopappus,Lathyrus,Lotus,Luzula,moustache,Nasauvia soft,Nasuvia hairy,Nasuvia teeth,Oxalis,Perezia,Saxifrage red,Saxifrage yellow,Senecio falso,Thlapsi,Trisetum,moss,dataset code
"Torres del Paine","Azorella_monantha",24,"open",30,30,,,,,,,,,,,,,,,,,,,1,1,,,,,,,64
"Torres del Paine","Azorella_monantha",25,"open",25,25,,,,,,,,,,,,,,,,,,,2,,,,,,,,64
"Torres del Paine","Azorella_monantha",26,"open",30,30,,,,,,,,,,,,,,,,,,,,,,,,,,,64
"Torres del Paine","Azorella_monantha",27,"open",35,30,,,,,,,,,,,,,,,,,,,1,,,,,,,,64
"Torres del Paine","Azorella_monantha",28,"open",15,15,,,1,,,,,,,,,,,,,,,,3,1,,,,,,,64
"Torres del Paine","Azorella_monantha",29,"open",25,25,,,,,,,,,,,,,,,,,,,,1,,,,,,,64
"Torres del Paine","Azorella_monantha",30,"open",50,50,,,,,,,,,,,,,,,,,,,,,,,,,,,64
"Torres del Paine","Azorella_monantha",36,"open",35,20,1,,,,,,,,,1,1,,,,,,,,,,,,,1,,,64
"Torres del Paine","Azorella_monantha",37,"open",35,30,1,,,,,1,,,,,,,,,,,,,,2,,,,,,,64
"Torres del Paine","Azorella_monantha",38,"open",35,40,,,,,1,3,,,,,,1,,,,,,,1,17,,,,,,,64
"Torres del Paine","Azorella_monantha",39,"open",30,30,,,,,,,,,,,1,,,,,,,,3,4,,,,,,,64
"Torres del Paine","Azorella_monantha",40,"open",25,75,,,,,,,,,,,,,,,,,,,,,,,,,,,64
"Torres del Paine","Azorella_monantha",41,"open",45,50,1,,,,,,,,,2,1,,,,,1,,,3,5,,,,,,,64
"Torres del Paine","Azorella_monantha",42,"open",30,40,,,,,,,,,,,,,,,,,,,,,,,,,,,64
"Torres del Paine","Azorella_monantha",43,"open",40,40,1,,,,,,,,,,,,,,,1,,,,14,,,,,,,64
"Torres del Paine","Azorella_monantha",44,"open",30,30,,,,,,,2,,,1,,,,,,,,,2,,,,,,,,64
"Torres del Paine","Azorella_monantha",45,"open",35,20,,,,,,,,,,,1,,,,,,,,3,4,,,,,,,64
"Torres del Paine","Azorella_monantha",46,"open",20,30,,,,,,,2,,,,,,,,,2,,,1,,,,,,,,64
"Torres del Paine","Azorella_monantha",47,"open",35,35,,,,,,,,,,,,,,,1,2,,,3,1,,,,,,,64
"Torres del Paine","Azorella_monantha",48,"open",40,45,,,,,,,,,,,,,,,,,,,2,1,,,,,,,64
"Torres del Paine","Azorella_monantha",49,"open",25,25,,,,,,,,,,,,,,,,3,,,,2,,,,,,,64
"Torres del Paine","Azorella_monantha",55,"open",30,30,,,,,,,,,,,,,,,,,,,1,,,,,,,,64
"Torres del Paine","Azorella_monantha",56,"open",35,45,,,,,,2,,,,,,,,,,,1,,3,10,,,,,,,64
"Torres del Paine","Azorella_monantha",57,"open",25,30,,,,,,,,,,,,,,,,,,,,,,,,,,,64
"Torres del Paine","Azorella_monantha",58,"open",35,40,,,,,,,,,,,,,1,,,,,,5,1,,,,,,,64
"Torres del Paine","Azorella_monantha",59,"open",35,35,,,,,,,,,,,,,2,,,,,,3,,,,,,,,64
"Torres del Paine","Azorella_monantha",60,"open",40,35,,,,,,,,,,,,,,,,,,,,,,,,,,,64
"Torres del Paine","Azorella_monantha",61,"open",35,20,,,,,,,,,,,,,,,,,,1,2,1,,,,,,,64
"Torres del Paine","Azorella_monantha",62,"open",30,25,,,,,,,,,,,,,,,,,,,,,,,,,,,64
"Torres del Paine","Azorella_monantha",63,"open",40,45,,,,,,,,,,,,,,,,,,,1,,,,,,,,64
"Torres del Paine","Azorella_monantha",64,"open",30,30,,,,,,,,,,,,,,,,,,,,,,,,,,,64
"Torres del Paine","Azorella_monantha",65,"open",30,30,,,,,,,,,,,,,1,,,,,,,,,,,,,1,64
"Torres del Paine","Azorella_monantha",66,"open",30,25,,,,,,,,,,,,,,,,,,,,,,,,,,,64
"Torres del Paine","Azorella_monantha",67,"open",70,35,,,,,,,,,,,,,,,,,,,,,,,,,,,64
"Torres del Paine","Azorella_monantha",68,"open",45,35,,,,,,,,,,,,,,,1,2,,,,4,,,,,,,64
"Torres del Paine","Azorella_monantha",74,"open",25,25,,,,,,,,,,,,,,,,,,,,,,,,,,,64
