"site","cushion","code","sample","cushion.open","diam1","diam2","area","Rytidiosperma setifolium","Aciphylla big","Aciphylla monroi","Anisotome flexuosa","Anisotome haastii","Blechnum pennamarina","Brachyglottis bellioides","Brachyscome sinclairii","Cardamine bilobata","Celmisia lyallii","Celmisia spectabilis","Chianochloa","Colobanthus aciculatus","Dracophyllum pronum","Dracophyllum uniflorum","Elymus rectisetus","Epilobium pycnostachyium","Gaultheria depressa","Gentiana corymbifera","Geranium sessiliflorum","Helichrysum bellidioides","Hieracium","Koeleria","Leptinella atrata","Leucopogon frazeri","Lobelia roughii","Luzula rufa","Melicytus alpinus","Ourisia caespitosa","Poa colensoi","Racometrum ptycophylla","Rumex acetosella","Schizeilema trifoliatum","Viola cunninghamii","Wahlenbergia albomarginata","moss (green)"
"Mt. Hutt","Raoulia eximia",41,81,"cushion",71,39,,,,,,,,,,,,,,,,,,,,,,1,,,,6,,,,,,,,,,,
"Mt. Hutt","Raoulia eximia",41,81,"open",71,39,,1,,,8,,,,,,,,2,2,,,,,,,,,,,,2,,,,,,,,,,,
"Mt. Hutt","Raoulia eximia",41,82,"cushion",38,42,,,,,,,,,,,,,1,1,,,,,,,,1,,,6,3,,,,,1,,,,,,
"Mt. Hutt","Raoulia eximia",41,82,"open",38,42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Mt. Hutt","Raoulia eximia",41,83,"cushion",84,67,,,,,,1,,,,,,1,3,,,,,,,,,,,2,8,,2,6,,,7,,,1,,6,
"Mt. Hutt","Raoulia eximia",41,83,"open",84,67,,3,,,,,,,,,,1,,,,,2,,,,,,,1,5,,,3,,,,,,,,,
"Mt. Hutt","Raoulia eximia",41,84,"cushion",82,74,,11,,,,,,,23,,,1,2,,,,,,,,,,,1,,1,,,,,1,,,,,6,2
"Mt. Hutt","Raoulia eximia",41,85,"cushion",29,31,,4,,,,,,,,,,,,,,,,,,,1,,,,,,,2,,,,,,,,4,1
"Mt. Hutt","Raoulia eximia",41,85,"open",29,31,,,,,,,,1,,,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,
"Mt. Hutt","Raoulia eximia",41,86,"open",44,60,,5,,,,,,,,,,2,,1,,,,,,,,,,1,,3,,1,,,,,,,,1,
"Mt. Hutt","Raoulia eximia",41,87,"cushion",55,56,,1,,,,1,,,,,,,,,,,,,,,,,,,8,3,,,,4,1,,,,,8,3
"Mt. Hutt","Raoulia eximia",41,89,"cushion",80,50,,7,,,,,,,,,3,2,2,1,,,2,,,,,1,,1,5,11,,2,,4,7,,,,,4,
"Mt. Hutt","Raoulia eximia",41,89,"open",80,50,,,,,,,,,,,,,,2,,,,1,,,4,,,,,,,2,,,,,8,2,,6,
"Mt. Hutt","Raoulia eximia",41,4,"open",45,50,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,
"Mt. Hutt","Raoulia eximia",41,5,"open",60,75,,5,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,
"Mt. Hutt","Raoulia eximia",41,9,"open",63,55,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,
"Mt. Hutt","Raoulia eximia",41,20,"cushion",98,68,,7,,,,,,,,,,,8,,1,,,,,,,,,,1,,,,,,4,,,,,21,1
"Mt. Hutt","Raoulia eximia",41,21,"open",171,48,,4,,,,,,,,,,,,8,1,,,,,,,,,,,,,,,,,,,,,3,1
"Mt. Hutt","Raoulia eximia",41,23,"cushion",71,53,,1,,,,,,,,,,,1,1,1,,,,,,,,,,,,,2,,,,,,,,13,
"Mt. Hutt","Raoulia eximia",41,23,"open",71,53,,,,,,,,,,,,,,3,1,,,,,,,,,,,,,,,,,,,,,,
"Mt. Hutt","Raoulia eximia",41,29,"open",155,65,,9,,,,,,,,,,,,3,1,,,,,,,,,,,,,,,,,,,,,,
"Mt. Hutt","Raoulia eximia",41,30,"cushion",50,39,,3,,,,,,,,,,,2,1,1,,,,1,,,,1,1,,,,,,,,,,,,,1
