Dataset code,site name,cushion species,sample,cushion/open,diam 1 (cm),diam 2 (cm),Anthyllis vulneraria ssp pseudoarundana,Biscutella glacialis,Dactylis glomerata ssp juncinella,Dianthus brachyanthus,Erigeron frigidus,Eryngium glaciale,Euphorbia nevadensis ssp nevadensis,Euphrasia willkommii,Festuca clementei,Festuca indigesta,Galium pyrenaicum,Jasione amethystina,Leontodon boryi,Leucanthemopsis pectinata,Linaria aeruginea ssp nevadensis,Lotus corniculatus ssp glacialis,Nevadensia purpurea,Pilosella sp,Plantago holosteum,Poa ligulata,Rumex angiocarpus,Sedum amplexicaule ssp amplexicaule,Senecio boissieri,Sideritis glacialis,Silene boryi,Thymus serpylloides ssp serpylloides,Trisetum glaciale
79,"Sierra Nevada3","Arenaria_tetraquetra_amabilis",62,"open",12,11,,,,,,,,,,,,1,,,3,,,,,8,,,,,,,
79,"Sierra Nevada3","Arenaria_tetraquetra_amabilis",63,"cushion",16,16,,,,,,,,,,,18,5,1,,,13,,,2,,,,,,,,
79,"Sierra Nevada3","Arenaria_tetraquetra_amabilis",63,"open",16,16,,,,,,,1,,,,,,,2,,2,,,,3,,,,,,,
79,"Sierra Nevada3","Arenaria_tetraquetra_amabilis",64,"cushion",14,12,,,,,,,,,,,,,,,,5,,,1,6,,,,,,,
79,"Sierra Nevada3","Arenaria_tetraquetra_amabilis",64,"open",14,12,,,,,,,,,,,,,,,,,,,,6,,13,,,,,
79,"Sierra Nevada3","Arenaria_tetraquetra_amabilis",65,"cushion",19,15,,,,,,,,,,,,8,,,,,,,1,1,,,,,,,
79,"Sierra Nevada3","Arenaria_tetraquetra_amabilis",65,"open",19,15,,,,,,,,,,,,1,,,,1,,,3,6,,,,,,,
79,"Sierra Nevada3","Arenaria_tetraquetra_amabilis",66,"cushion",14,11,,,,,,,,,,1,,1,,,,,,,1,3,,,,,,,
79,"Sierra Nevada3","Arenaria_tetraquetra_amabilis",66,"open",14,11,,,,,,,,,,,,1,2,,,,,,,1,,,,,,,
79,"Sierra Nevada3","Arenaria_tetraquetra_amabilis",67,"cushion",13,10,,,,,,,,,1,,,2,,,,,,,1,,,,,,,,
79,"Sierra Nevada3","Arenaria_tetraquetra_amabilis",67,"open",13,10,,,,,,,,,1,1,,,2,,,,,,,2,,,,,,,
79,"Sierra Nevada3","Arenaria_tetraquetra_amabilis",68,"cushion",14,8,,,1,,,,,,,,,,,,,,,,1,1,,,,,,,
79,"Sierra Nevada3","Arenaria_tetraquetra_amabilis",68,"open",14,8,,,,,,,,,,,,,,,,,,,,6,,,,,1,,
79,"Sierra Nevada3","Arenaria_tetraquetra_amabilis",69,"cushion",15,12,,,,,,,,,1,,,1,,,,,,,,1,,,,,,,
79,"Sierra Nevada3","Arenaria_tetraquetra_amabilis",69,"open",15,12,,,,,,,,,1,,,1,,,,,,,,9,,,,,,,
79,"Sierra Nevada3","Arenaria_tetraquetra_amabilis",70,"cushion",22,13,,,2,,,,,,1,,,,,,,,,,,2,,,,,,,
79,"Sierra Nevada3","Arenaria_tetraquetra_amabilis",70,"open",22,13,,,2,,,,1,,,,,2,,,,,,,2,6,,,,,,,
79,"Sierra Nevada3","Arenaria_tetraquetra_amabilis",71,"cushion",21,20,,,1,,,,,,2,,,2,,,,,,,,,,,,,,,
79,"Sierra Nevada3","Arenaria_tetraquetra_amabilis",71,"open",21,20,,,,,,,1,,,,,,,,,,,,,9,,,,,,1,
79,"Sierra Nevada3","Arenaria_tetraquetra_amabilis",72,"cushion",17,9,,,2,,,1,,,,,,3,,,,,,,1,3,,,,,,,
79,"Sierra Nevada3","Arenaria_tetraquetra_amabilis",72,"open",17,9,,,,,,,,,,,,2,,,,,,,,6,,,,,,,
79,"Sierra Nevada3","Arenaria_tetraquetra_amabilis",73,"cushion",15,12,,,,,,,,,,,,3,,,,11,,,1,2,,,,,,,
79,"Sierra Nevada3","Arenaria_tetraquetra_amabilis",73,"open",15,12,,,,,,,,,,1,,,,,,,,,,10,,,,,,,
79,"Sierra Nevada3","Arenaria_tetraquetra_amabilis",74,"cushion",16,10,,,,,1,,,,1,,,1,,,,,,,1,6,,,,,,,
79,"Sierra Nevada3","Arenaria_tetraquetra_amabilis",74,"open",16,10,,,,,,,,,,,,,,,,1,,,,5,5,,,,,,
79,"Sierra Nevada3","Arenaria_tetraquetra_amabilis",75,"cushion",15,11,,,,,,,1,,,,,,,,,,,,1,5,,,,,,,
79,"Sierra Nevada3","Arenaria_tetraquetra_amabilis",75,"open",15,11,,,,,,,,,,,,,,,,,,,1,9,5,,,,,,
79,"Sierra Nevada3","Arenaria_tetraquetra_amabilis",76,"cushion",16,12,,,1,,,,,,1,,,1,,,,,,,1,,,,,,,,
79,"Sierra Nevada3","Arenaria_tetraquetra_amabilis",76,"open",16,12,,,,,,,,,,,,,,,,,,,,4,3,,,,,,
79,"Sierra Nevada3","Arenaria_tetraquetra_amabilis",77,"cushion",24,21,,,,,,,1,,7,,,5,,,,6,,,1,,,,,,,,
79,"Sierra Nevada3","Arenaria_tetraquetra_amabilis",77,"open",24,21,,,1,,,,,,,,,,,,,,,,,5,,,,,,,
79,"Sierra Nevada3","Arenaria_tetraquetra_amabilis",78,"cushion",24,22,,,1,,,,,,3,,,,1,,,7,,,,,2,,,,,,
79,"Sierra Nevada3","Arenaria_tetraquetra_amabilis",78,"open",24,22,,,,,,,,1,1,1,,5,4,,,,,3,2,3,1,,,,,,
79,"Sierra Nevada3","Arenaria_tetraquetra_amabilis",79,"cushion",19,22,,,2,,,1,3,1,,,,2,2,,,,,,,1,,,,,,,
79,"Sierra Nevada3","Arenaria_tetraquetra_amabilis",79,"open",19,22,,,,,,,1,1,,,,1,,,,3,,,,2,4,,,,,,
79,"Sierra Nevada3","Arenaria_tetraquetra_amabilis",80,"cushion",10,10,,,,,,,1,,2,,,,1,,1,,,,,1,,,,,,,
79,"Sierra Nevada3","Arenaria_tetraquetra_amabilis",80,"open",10,10,,,,,,,,,,,,,,,,,,,,1,2,,,,,,
79,"Sierra Nevada3","Arenaria_tetraquetra_amabilis",81,"cushion",18,14,,,,,,1,1,,1,,,7,1,,,5,,,,2,,,,,,,
79,"Sierra Nevada3","Arenaria_tetraquetra_amabilis",81,"open",18,14,,,,,,,1,,1,,,1,1,,,,,,,12,,,,,,,
79,"Sierra Nevada3","Arenaria_tetraquetra_amabilis",82,"cushion",22,20,,,,,,,2,,1,,,3,1,,,8,,,,,,,,,,,
