Dataset code,site name,cushion species,sample,cushion/open,diam 1 (cm),diam 2 (cm),Biscutella glacialis,Chaenorhinum glareosum,Erigeron frigidus,Eryngium glaciale,Euphrasia willkommii,Festuca clementei,Galium pyrenaicum,Herniaria boissieri ssp boissieri,Hormathophylla spinosa,Jasione amethystina,Leontodon boryi,Nevadensia purpurea,Trisetum glaciale
80,"Sierra Nevada4","Arenaria_tetraquetra_amabilis",89,"open",20,17,,,,,,,,,,,,,
80,"Sierra Nevada4","Arenaria_tetraquetra_amabilis",90,"cushion",12,11,,,,,,,,,,,,,
80,"Sierra Nevada4","Arenaria_tetraquetra_amabilis",90,"open",12,11,,,,,,1,,,,,,,
80,"Sierra Nevada4","Arenaria_tetraquetra_amabilis",91,"cushion",18,16,,,,,,,,,,1,,,
80,"Sierra Nevada4","Arenaria_tetraquetra_amabilis",91,"open",18,16,,,,,,1,,,,2,,,
80,"Sierra Nevada4","Arenaria_tetraquetra_amabilis",92,"cushion",20,18,,,,,,3,9,,,3,,,
80,"Sierra Nevada4","Arenaria_tetraquetra_amabilis",92,"open",20,18,,,,,,,,,,1,,,
80,"Sierra Nevada4","Arenaria_tetraquetra_amabilis",93,"cushion",21,23,,,,,,,,,,6,,,
80,"Sierra Nevada4","Arenaria_tetraquetra_amabilis",93,"open",21,23,,,,,,,,,,,,,
80,"Sierra Nevada4","Arenaria_tetraquetra_amabilis",94,"cushion",26,28,,,,,,,,,,10,,,
80,"Sierra Nevada4","Arenaria_tetraquetra_amabilis",94,"open",26,28,,3,,,,,1,,,5,,,
80,"Sierra Nevada4","Arenaria_tetraquetra_amabilis",95,"cushion",10,11,,,,,,,,,,,,,
80,"Sierra Nevada4","Arenaria_tetraquetra_amabilis",95,"open",10,11,,,,,,,,,,2,,,
80,"Sierra Nevada4","Arenaria_tetraquetra_amabilis",96,"cushion",29,24,,1,,,,,,,,1,,,
80,"Sierra Nevada4","Arenaria_tetraquetra_amabilis",96,"open",29,24,,,,,,,,,,,,,
80,"Sierra Nevada4","Arenaria_tetraquetra_amabilis",97,"cushion",25,21,,,,,,1,,,,,,,
80,"Sierra Nevada4","Arenaria_tetraquetra_amabilis",97,"open",25,21,,,,,,,,,,,,,
80,"Sierra Nevada4","Arenaria_tetraquetra_amabilis",98,"cushion",28,12,1,,,,,,,,,2,,,
80,"Sierra Nevada4","Arenaria_tetraquetra_amabilis",98,"open",28,12,,,,,,,,,,,,,
80,"Sierra Nevada4","Arenaria_tetraquetra_amabilis",99,"cushion",16,14,,,,,,,1,,,9,,,
80,"Sierra Nevada4","Arenaria_tetraquetra_amabilis",99,"open",16,14,,,,,,,,,,,,,
80,"Sierra Nevada4","Arenaria_tetraquetra_amabilis",100,"cushion",28,12,,,,,,,,,,7,,,
80,"Sierra Nevada4","Arenaria_tetraquetra_amabilis",100,"open",28,12,,,,,,,,,,1,,,
